Level	Might	Agility	Vitality	Will	Fate	Morale	ICMR	NCMR	ICPR	NCPR
1	14	14	8	11	10	75	15	60	240	75
2	15	16	9	12	11	104	20	60	240	75
3	17	18	10	14	12	133	25	60	240	90
4	18	20	11	15	13	162	29	60	240	90
5	20	22	12	17	14	191	33	120	240	90
6	21	24	13	18	15	220	37	120	240	90
7	22	26	14	19	16	249	40	120	240	90
8	24	28	15	21	17	278	44	120	240	105
9	25	30	16	22	18	307	47	120	240	105
10	27	32	17	24	19	336	50	120	240	105
11	28	34	18	25	20	365	52	120	240	105
12	29	36	19	26	21	394	55	120	240	105
13	31	38	20	28	22	423	58	120	240	105
14	32	40	21	29	23	452	60	120	240	105
15	34	42	22	31	24	481	62	120	240	105
16	35	44	23	32	25	510	64	120	240	105
17	36	46	24	33	26	539	66	120	240	105
18	38	48	25	35	27	568	67	120	240	105
19	39	50	26	36	28	597	70	120	240	105
20	41	52	27	38	29	626	71	120	240	105
21	42	54	28	39	30	648	73	120	240	105
22	43	56	29	40	31	670	74	120	240	105
23	45	58	30	42	32	692	76	120	240	105
24	46	60	31	43	33	714	77	120	240	105
25	48	62	32	45	34	736	78	120	240	105
26	49	64	33	46	35	758	80	120	240	120
27	50	66	34	47	36	780	81	120	240	120
28	52	68	35	49	37	802	82	120	240	120
29	53	70	36	50	38	824	83	120	240	120
30	55	71	37	52	39	846	85	120	240	120
31	56	72	38	53	40	868	85	120	240	120
32	57	73	39	54	41	890	86	120	240	120
33	59	74	40	56	42	912	88	120	240	120
34	60	75	41	57	43	934	88	120	240	120
35	62	76	42	59	44	956	89	120	240	120
36	63	77	43	60	45	978	90	120	240	120
37	64	79	44	61	46	1000	91	120	240	120
38	66	80	45	63	47	1022	91	120	240	120
39	67	81	46	64	48	1044	92	120	240	120
40	69	82	47	66	49	1066	94	120	240	120
41	70	83	48	67	50	1088	94	120	240	120
42	71	84	49	68	51	1110	95	120	240	120
43	73	85	50	70	52	1132	95	120	240	120
44	74	86	51	71	53	1154	96	120	240	120
45	76	87	52	73	54	1176	96	120	240	120
46	77	88	53	74	55	1198	97	120	240	120
47	78	89	54	75	56	1220	97	120	240	120
48	80	90	55	77	57	1242	98	120	240	120
49	81	91	56	78	58	1264	99	120	240	120
50	83	92	57	80	59	1286	100	120	240	120
