Level	Might	Agility	Vitality	Will	Fate	Morale	ICMR	NCMR	ICPR	NCPR
1	14	8	10	11	14	85	17	60	240	75
2	15	9	11	12	16	119	22	120	240	75
3	17	10	12	14	18	153	28	120	240	90
4	18	11	13	15	20	187	33	120	240	90
5	20	12	14	17	22	221	37	120	240	90
6	21	13	15	18	24	255	42	180	240	90
7	22	14	16	19	26	289	46	180	240	90
8	24	15	17	21	28	323	50	180	240	105
9	25	16	18	22	30	357	53	180	240	105
10	27	17	19	24	32	391	57	180	240	105
11	28	18	20	25	34	410	60	180	240	105
12	29	19	21	26	36	444	63	180	240	105
13	31	20	22	28	38	478	65	180	240	105
14	32	21	23	29	40	512	68	180	240	105
15	34	22	24	31	42	546	70	180	240	105
16	35	23	25	32	44	580	73	240	240	105
17	36	24	26	33	46	614	75	240	240	105
18	38	25	27	35	48	648	77	240	240	105
19	39	26	28	36	50	682	79	240	240	105
20	41	27	29	38	52	716	81	240	240	105
21	42	28	30	39	54	738	82	240	240	105
22	43	29	31	40	56	760	84	240	240	105
23	45	30	32	42	58	782	86	240	240	105
24	46	31	33	43	60	804	88	240	240	105
25	48	32	34	45	62	826	89	240	240	105
26	49	33	35	46	64	848	91	240	240	120
27	50	34	36	47	66	870	92	240	240	120
28	52	35	37	49	68	892	93	240	240	120
29	53	36	38	50	70	914	94	240	240	120
30	55	37	39	52	71	936	97	240	240	120
31	56	38	40	53	72	958	97	240	240	120
32	57	39	41	54	73	980	98	240	240	120
33	59	40	42	56	74	1002	99	240	240	120
34	60	41	43	57	75	1024	101	240	240	120
35	62	42	44	59	76	1046	102	240	240	120
36	63	43	45	60	77	1068	103	240	240	120
37	64	44	46	61	79	1090	104	240	240	120
38	66	45	47	63	80	1112	105	240	240	120
39	67	46	48	64	81	1134	106	240	240	120
40	69	47	49	66	82	1156	106	240	240	120
41	70	48	50	67	83	1178	107	240	240	120
42	71	49	51	68	84	1200	108	240	240	120
43	73	50	52	70	85	1222	109	240	240	120
44	74	51	53	71	86	1244	109	240	240	120
45	76	52	54	73	87	1266	110	240	240	120
46	77	53	55	74	88	1288	111	240	240	120
47	78	54	56	75	89	1310	112	240	240	120
48	80	55	57	77	90	1332	112	240	240	120
49	81	56	58	78	91	1354	113	240	240	120
50	83	57	59	80	92	1376	114	240	240	120
