Level	Might	Agility	Vitality	Will	Fate	Morale	ICMR	NCMR	ICPR	NCPR
1	14	14	10	8	11	100	20	120	240	75
2	16	15	11	9	12	139	26	120	240	75
3	18	17	12	10	14	178	32	120	240	90
4	20	18	13	11	15	217	38	180	240	90
5	22	20	14	12	17	256	43	180	240	90
6	24	21	15	13	18	295	48	180	240	90
7	26	22	16	14	19	334	53	180	240	90
8	28	24	17	15	21	373	57	180	240	105
9	30	25	18	16	22	412	60	180	240	105
10	32	27	19	17	24	451	64	240	240	105
11	34	28	20	18	25	475	68	240	240	105
12	36	29	21	19	26	514	70	240	240	105
13	38	31	22	20	28	553	74	240	240	105
14	40	32	23	21	29	592	77	240	240	105
15	42	34	24	22	31	631	80	240	240	105
16	44	35	25	23	32	670	82	240	240	105
17	46	36	26	24	33	709	85	240	240	105
18	48	38	27	25	35	748	87	240	240	105
19	50	39	28	26	36	787	89	240	240	105
20	52	41	29	27	38	826	91	240	240	105
21	54	42	30	28	39	853	94	240	240	105
22	56	43	31	29	40	880	95	240	240	105
23	58	45	32	30	42	907	97	240	240	105
24	60	46	33	31	43	934	99	240	240	105
25	62	48	34	32	45	961	101	240	240	105
26	64	49	35	33	46	988	102	240	240	120
27	66	50	36	34	47	1015	104	240	240	120
28	68	52	37	35	49	1042	106	240	240	120
29	70	53	38	36	50	1069	107	240	240	120
30	71	55	39	37	52	1096	108	240	240	120
31	72	56	40	38	53	1123	110	300	240	120
32	73	57	41	39	54	1150	111	300	240	120
33	74	59	42	40	56	1177	112	300	240	120
34	75	60	43	41	57	1204	113	300	240	120
35	76	62	44	42	59	1231	115	300	240	120
36	77	63	45	43	60	1258	115	300	240	120
37	79	64	46	44	61	1285	117	300	240	120
38	80	66	47	45	63	1312	118	300	240	120
39	81	67	48	46	64	1339	118	300	240	120
40	82	69	49	47	66	1366	120	300	240	120
41	83	70	50	48	67	1393	121	300	240	120
42	84	71	51	49	68	1420	121	300	240	120
43	85	73	52	50	70	1447	123	300	240	120
44	86	74	53	51	71	1474	124	300	240	120
45	87	76	54	52	73	1501	124	300	240	120
46	88	77	55	53	74	1528	125	300	240	120
47	89	78	56	54	75	1555	126	300	240	120
48	90	80	57	55	77	1582	127	300	240	120
49	91	81	58	56	78	1609	127	300	240	120
50	92	83	59	57	80	1636	128	300	240	120
