Level	Might	Agility	Vitality	Will	Fate	Morale	ICMR	NCMR	ICPR	NCPR
1	14	10	14	11	8	100	20	120	240	75
2	15	11	16	12	9	139	26	120	240	75
3	17	12	18	14	10	178	32	120	240	90
4	18	13	20	15	11	217	38	180	240	90
5	20	14	22	17	12	256	43	180	240	90
6	21	15	24	18	13	295	48	180	240	90
7	22	16	26	19	14	334	53	180	240	90
8	24	17	28	21	15	373	57	180	240	105
9	25	18	30	22	16	412	60	180	240	105
10	27	19	32	24	17	451	64	240	240	105
11	28	20	34	25	18	490	68	240	240	105
12	29	21	36	26	19	529	70	240	240	105
13	31	22	38	28	20	568	74	240	240	105
14	32	23	40	29	21	607	77	240	240	105
15	34	24	42	31	22	646	80	240	240	105
16	35	25	44	32	23	685	82	240	240	105
17	36	26	46	33	24	724	85	240	240	105
18	38	27	48	35	25	763	87	240	240	105
19	39	28	50	36	26	802	89	240	240	105
20	41	29	52	38	27	841	91	240	240	105
21	42	30	54	39	28	868	94	240	240	105
22	43	31	56	40	29	907	95	240	240	105
23	45	32	58	42	30	934	97	240	240	105
24	46	33	60	43	31	961	99	240	240	105
25	48	34	62	45	32	988	101	240	240	105
26	49	35	64	46	33	1015	102	240	240	120
27	50	36	66	47	34	1042	104	240	240	120
28	52	37	68	49	35	1069	106	240	240	120
29	53	38	70	50	36	1096	107	240	240	120
30	55	39	71	52	37	1111	108	240	240	120
31	56	40	72	53	38	1138	110	300	240	120
32	57	41	73	54	39	1165	111	300	240	120
33	59	42	74	56	40	1192	112	300	240	120
34	60	43	75	57	41	1219	113	300	240	120
35	62	44	76	59	42	1246	115	300	240	120
36	63	45	77	60	43	1273	115	300	240	120
37	64	46	79	61	44	1300	117	300	240	120
38	66	47	80	63	45	1327	118	300	240	120
39	67	48	81	64	46	1354	118	300	240	120
40	69	49	82	66	47	1381	120	300	240	120
41	70	50	83	67	48	1408	121	300	240	120
42	71	51	84	68	49	1435	121	300	240	120
43	73	52	85	70	50	1462	123	300	240	120
44	74	53	86	71	51	1489	124	300	240	120
45	76	54	87	73	52	1516	124	300	240	120
46	77	55	88	74	53	1543	125	300	240	120
47	78	56	89	75	54	1570	126	300	240	120
48	80	57	90	77	55	1597	127	300	240	120
49	81	58	91	78	56	1624	127	300	240	120
50	83	59	92	80	57	1651	128	300	240	120
