Level	Might	Agility	Vitality	Will	Fate	Morale	ICMR	NCMR	ICPR	NCPR
1	8	14	10	14	11	75	17	60	240	75
2	9	16	11	15	12	104	22	120	240	75
3	10	18	12	17	13	133	28	120	240	90
4	11	20	13	18	14	162	33	120	240	90
5	12	22	14	20	15	191	37	120	240	90
6	13	24	15	21	16	220	42	180	240	90
7	14	26	16	22	17	249	46	180	240	90
8	15	28	17	24	18	278	50	180	240	105
9	16	30	18	25	19	307	53	180	240	105
10	17	32	19	27	20	336	57	180	240	105
11	18	34	20	28	21	365	60	180	240	105
12	19	36	21	29	22	394	63	180	240	105
13	20	38	22	31	23	423	65	180	240	105
14	21	40	23	32	24	452	68	180	240	105
15	22	42	24	34	25	481	71	180	240	105
16	23	44	25	35	26	510	73	240	240	105
17	24	46	26	36	27	539	75	240	240	105
18	25	48	27	38	28	568	77	240	240	105
19	26	50	28	39	29	597	79	240	240	105
20	27	52	29	41	30	626	81	240	240	105
21	28	54	30	42	31	648	83	240	240	105
22	29	56	31	43	32	670	84	240	240	105
23	30	58	32	45	33	692	86	240	240	105
24	31	60	33	46	34	714	88	240	240	105
25	32	62	34	48	35	736	89	240	240	105
26	33	64	35	49	36	758	91	240	240	120
27	34	66	36	50	37	780	92	240	240	120
28	35	68	37	52	38	802	93	240	240	120
29	36	70	38	53	39	824	95	240	240	120
30	37	72	39	55	40	846	96	240	240	120
31	38	74	40	56	41	868	98	240	240	120
32	39	76	41	57	42	890	98	240	240	120
33	40	78	42	59	43	912	100	240	240	120
34	41	80	43	60	44	934	100	240	240	120
35	42	82	44	62	45	956	102	240	240	120
36	43	84	45	63	46	978	102	240	240	120
37	44	86	46	64	47	1000	104	240	240	120
38	45	88	47	66	48	1022	105	240	240	120
39	46	90	48	67	49	1044	106	240	240	120
40	47	92	49	69	50	1066	106	240	240	120
41	48	94	50	70	51	1088	107	240	240	120
42	49	96	51	71	52	1110	108	240	240	120
43	50	98	52	73	53	1132	109	240	240	120
44	51	100	53	74	54	1154	109	240	240	120
45	52	102	54	76	55	1176	110	240	240	120
46	53	104	55	77	56	1198	111	240	240	120
47	54	106	56	78	57	1220	112	240	240	120
48	55	108	57	80	58	1242	112	240	240	120
49	56	110	58	81	59	1264	113	240	240	120
50	57	112	59	83	60	1286	114	240	240	120
