Level	Might	Agility	Vitality	Will	Fate	Morale	ICMR	NCMR	ICPR	NCPR
1	8	11	10	14	14	75	15	60	240	75
2	9	12	11	15	16	97	20	60	240	75
3	10	14	12	17	18	119	25	60	240	90
4	11	15	13	18	20	141	29	60	240	90
5	12	17	14	20	22	163	33	120	240	90
6	13	18	15	21	24	185	37	120	240	90
7	14	19	16	22	26	207	40	120	240	90
8	15	21	17	24	28	229	44	120	240	105
9	16	22	18	25	30	251	47	120	240	105
10	17	24	19	27	32	273	50	120	240	105
11	18	25	20	28	34	295	52	120	240	105
12	19	26	21	29	36	317	55	120	240	105
13	20	28	22	31	38	339	58	120	240	105
14	21	29	23	32	40	361	60	120	240	105
15	22	31	24	34	42	383	62	120	240	105
16	23	32	25	35	44	405	64	120	240	105
17	24	33	26	36	46	427	66	120	240	105
18	25	35	27	38	48	449	67	120	240	105
19	26	36	28	39	50	471	70	120	240	105
20	27	38	29	41	52	493	71	120	240	105
21	28	39	30	42	54	508	73	120	240	105
22	29	40	31	43	56	523	74	120	240	105
23	30	42	32	45	58	538	76	120	240	105
24	31	43	33	46	60	553	77	120	240	105
25	32	45	34	48	62	568	78	120	240	105
26	33	46	35	49	64	583	80	120	240	120
27	34	47	36	50	66	598	81	120	240	120
28	35	49	37	52	68	613	82	120	240	120
29	36	50	38	53	70	628	83	120	240	120
30	37	52	39	55	71	643	85	120	240	120
31	38	53	40	56	72	658	85	120	240	120
32	39	54	41	57	73	673	86	120	240	120
33	40	56	42	59	74	688	88	120	240	120
34	41	57	43	60	75	703	88	120	240	120
35	42	59	44	62	76	718	89	120	240	120
36	43	60	45	63	77	733	90	120	240	120
37	44	61	46	64	79	748	91	120	240	120
38	45	63	47	66	80	763	91	120	240	120
39	46	64	48	67	81	778	92	120	240	120
40	47	66	49	69	82	793	94	120	240	120
41	48	67	50	70	83	808	94	120	240	120
42	49	68	51	71	84	823	95	120	240	120
43	50	70	52	73	85	838	95	120	240	120
44	51	71	53	74	86	853	96	120	240	120
45	52	73	54	76	87	868	96	120	240	120
46	53	74	55	77	88	883	97	120	240	120
47	54	75	56	78	89	898	97	120	240	120
48	55	77	57	80	90	913	98	120	240	120
49	56	78	58	81	91	928	99	120	240	120
50	57	80	59	83	92	943	100	120	240	120
