Level	Might	Agility	Vitality	Will	Fate	Morale	ICMR	NCMR	ICPR	NCPR
1	11	8	10	14	14	75	15	60	240	75
2	12	9	11	16	15	97	20	60	240	75
3	14	10	12	18	17	119	25	60	240	90
4	15	11	13	20	18	141	29	60	240	90
5	17	12	14	22	20	163	33	120	240	90
6	18	13	15	24	21	185	37	120	240	90
7	19	14	16	26	22	207	40	120	240	90
8	21	15	17	28	24	229	44	120	240	105
9	22	16	18	30	25	251	47	120	240	105
10	24	17	19	32	27	273	50	120	240	105
11	25	18	20	34	28	295	52	120	240	105
12	26	19	21	36	29	317	55	120	240	105
13	28	20	22	38	31	339	58	120	240	105
14	29	21	23	40	32	361	60	120	240	105
15	31	22	24	42	34	383	62	120	240	105
16	32	23	25	44	35	405	64	120	240	105
17	33	24	26	46	36	427	66	120	240	105
18	35	25	27	48	38	449	67	120	240	105
19	36	26	28	50	39	471	70	120	240	105
20	38	27	29	52	41	493	71	120	240	105
21	39	28	30	54	42	508	73	120	240	105
22	40	29	31	56	43	523	74	120	240	105
23	42	30	32	58	45	538	76	120	240	105
24	43	31	33	60	46	553	77	120	240	105
25	45	32	34	62	48	568	78	120	240	105
26	46	33	35	64	49	583	80	120	240	120
27	47	34	36	66	50	598	81	120	240	120
28	49	35	37	68	52	613	82	120	240	120
29	50	36	38	70	53	628	83	120	240	120
30	52	37	39	71	55	643	85	120	240	120
31	53	38	40	72	56	658	85	120	240	120
32	54	39	41	73	57	673	86	120	240	120
33	56	40	42	74	59	688	88	120	240	120
34	57	41	43	75	60	703	88	120	240	120
35	59	42	44	76	62	718	89	120	240	120
36	60	43	45	77	63	733	90	120	240	120
37	61	44	46	79	64	748	91	120	240	120
38	63	45	47	80	66	763	91	120	240	120
39	64	46	48	81	67	778	92	120	240	120
40	66	47	49	82	69	793	94	120	240	120
41	67	48	50	83	70	808	94	120	240	120
42	68	49	51	84	71	823	95	120	240	120
43	70	50	52	85	73	838	95	120	240	120
44	71	51	53	86	74	853	96	120	240	120
45	73	52	54	87	76	868	96	120	240	120
46	74	53	55	88	77	883	97	120	240	120
47	75	54	56	89	78	898	97	120	240	120
48	77	55	57	90	80	913	98	120	240	120
49	78	56	58	91	81	928	99	120	240	120
50	80	57	59	92	83	943	100	120	240	120
