Level	Might	Agility	Vitality	Will	Fate	Morale	ICMR	NCMR	ICPR	NCPR
1	14	14	10	8	11	100	20	120	240	75
2	15	16	11	9	12	139	26	120	240	75
3	17	18	12	10	14	178	32	120	240	90
4	18	20	13	11	15	217	38	180	240	90
5	20	22	14	12	17	256	43	180	240	90
6	21	24	15	13	18	295	48	180	240	90
7	22	26	16	14	19	334	53	180	240	90
8	24	28	17	15	21	373	57	180	240	105
9	25	30	18	16	22	412	60	180	240	105
10	27	32	19	17	24	451	64	240	240	105
11	28	34	20	18	25	490	68	240	240	105
12	29	36	21	19	26	529	70	240	240	105
13	31	38	22	20	28	568	74	240	240	105
14	32	40	23	21	29	607	77	240	240	105
15	34	42	24	22	31	646	80	240	240	105
16	35	44	25	23	32	685	82	240	240	105
17	36	46	26	24	33	724	85	240	240	105
18	38	48	27	25	35	763	87	240	240	105
19	39	50	28	26	36	802	89	240	240	105
20	41	52	29	27	38	841	91	240	240	105
21	42	54	30	28	39	868	94	240	240	105
22	43	56	31	29	40	907	95	240	240	105
23	45	58	32	30	42	934	97	240	240	105
24	46	60	33	31	43	961	99	240	240	105
25	48	62	34	32	45	988	101	240	240	105
26	49	64	35	33	46	1015	102	240	240	120
27	50	66	36	34	47	1042	104	240	240	120
28	52	68	37	35	49	1069	106	240	240	120
29	53	70	38	36	50	1096	107	240	240	120
30	55	71	39	37	52	1111	108	240	240	120
31	56	72	40	38	53	1138	110	300	240	120
32	57	73	41	39	54	1165	111	300	240	120
33	59	74	42	40	56	1192	112	300	240	120
34	60	75	43	41	57	1219	113	300	240	120
35	62	76	44	42	59	1246	115	300	240	120
36	63	77	45	43	60	1273	115	300	240	120
37	64	79	46	44	61	1300	117	300	240	120
38	66	80	47	45	63	1327	118	300	240	120
39	67	81	48	46	64	1354	118	300	240	120
40	69	82	49	47	66	1381	120	300	240	120
41	70	83	50	48	67	1408	121	300	240	120
42	71	84	51	49	68	1435	121	300	240	120
43	73	85	52	50	70	1462	123	300	240	120
44	74	86	53	51	71	1489	124	300	240	120
45	76	87	54	52	73	1516	124	300	240	120
46	77	88	55	53	74	1543	125	300	240	120
47	78	89	56	54	75	1570	126	300	240	120
48	80	90	57	55	77	1597	127	300	240	120
49	81	91	58	56	78	1624	127	300	240	120
50	83	92	59	57	80	1651	128	300	240	120
