Morale																		
12	19	26	33	40	47	54	58	65	72	79	86	91	98	105	112	117	123	130
23	37	51	63	77	91	105	117	130	144	156	170	182	196	207	221	233	247	259
47	75	100	126	154	179	207	233	259	287	312	338	363	389	415	440	466	492	517
Power																		
5	8	11	14	17	20	23	25	28	31	34	37	39	42	45	48	50	53	56
10	16	22	27	33	39	45	50	56	62	67	73	78	84	89	95	100	106	111
20	32	43	54	66	77	89	100	111	123	134	145	156	167	178	189	200	211	222
ICMR																		
4.5	11.25	16.95	22.5	28.2	33.75	39.45	45	50.7	56.25	61.95	67.5	73.125	78.75	84.375	90	95.625	101.25	107
6.75	16.95	25.35	33.75	42.15	50.7	59.1	67.5	75.9	84.45	92.85	101.25	109.65	118.125	126.5625	135	143.4375	151.875	160
11.25	22.5	33.75	45	56.25	67.5	78.75	90	101.25	112.5	123.75	135	146.25	157.5	168.75	180	191.25	202.5	214
NCMR																		
34.5	60.8	87	113.3	139.5	165.8	192	218.3	244.5	270.8	297.9	324.4	350.82	377.292	403.752	430.224	456.684	483.156	510
51.8	91.1	130.5	169.9	209.3	248.6	288	327.4	366.8	406.1	446.8	486.5	526.236	565.938	605.634	645.336	685.032	724.734	764
69	121.5	174	226.5	279	331.5	384	436.5	489	541.5	594.3	647.1	699.9	752.7	805.5	858.3	911.1	963.9	1017
ICPR																		
4.05	8.1	12.15	16.2	20.25	24.3	28.35	32.4	36.45	40.5	44.55	48.6	52.65	56.7	60.75	64.8	68.85	72.9	77
6.45	12.15	18.3	24.3	30.45	36.45	42.6	48.6	54.75	60.75	66.9	72.9	78.975	85.05	91.125	97.2	103.275	109.35	115
8.1	16.2	24.3	32.4	40.5	48.6	56.7	64.8	72.9	81	89.1	97.2	105.3	113.4	121.5	129.6	137.7	145.8	154
NCPR																		
33.8	52.5	71.3	90	108.8	127.5	146.3	165	183.8	202.5	221.8	240.6	259.392	278.19	296.988	315.786	334.584	353.376	372
50.6	78.8	106.9	135	163.1	191.3	219.4	247.5	275.6	303.8	332.7	360.9	389.094	417.288	445.488	473.682	501.876	530.07	558
67.5	105	142.5	180	217.5	255	292.5	330	367.5	405	442.5	480	517.5	555	592.5	630	667.5	705	743
Resist																		
52	104	155	207	259	311	362	414	466	518	569	621	673	725	776	828	880	932	984
89	175	261	347	433	519	604	690	776	862	948	1034	1120	1207	1293	1379	1465	1551	1638
173	345	518	690	862	1034	1207	1380	1552	1725	1897	2070	2242	2415	2587	2760	2933	3105	3278
PhyMit																		
28.5	54	81	108	135	162	189	216	243	270	297	324	351	378	405	432	459	486	513
51	97.2	145.8	194.4	243	291.6	340.2	388.8	437.4	486	534.6	583.2	631.8	680.4	729	777.6	826.2	874.8	923
84	162	243	324	405	486	567	648	729	810	891	972	1053	1134	1215	1296	1377	1458	1539
TacMit																		
28.5	54	81	108	135	162	189	216	243	270	297	324	351	378	405	432	459	486	513
51	97.2	145.8	194.4	243	291.6	340.2	388.8	437.4	486	534.6	583.2	631.8	680.4	729	777.6	826.2	874.8	923
84	162	243	324	405	486	567	648	729	810	891	972	1053	1134	1215	1296	1377	1458	1539
Lstat																		
2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38
4	8	12	16	20	24	28	32	36	40	44	48	52	56	60	64	68	72	76
6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102	108	114
Hstat																		
3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57
6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102	108	114
9	18	27	36	45	54	63	72	81	90	99	108	117	126	135	144	153	162	171
Armour																		
15	30	45	60	75	90	105	120	135	150	165	180	195	210	225	240	255	270	285
27	54	81	108	135	162	189	216	243	270	297	324	351	378	405	432	459	486	513
45	90	135	180	225	270	315	360	405	450	495	540	585	630	675	720	765	810	855
